"S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_VOLUME","S_DQ_PCTCHANGE"
"29.5000","29.8000","27.0000","27.7500","1740851.0000","177.5000"
"27.5800","28.3800","27.5300","27.7100","294035.0000","-0.1441"
"27.8600","28.3000","27.7700","28.0500","150080.0000","1.2270"
"28.2000","28.2500","27.7000","27.7500","119211.0000","-1.0695"
"27.8800","27.9700","26.4800","26.5500","232231.0000","-4.3243"
"26.5000","27.1800","26.3700","27.1800","100526.0000","2.3729"
"27.2000","27.5800","26.7800","27.0200","84465.0000","-0.5887"
"27.5000","27.5300","26.8000","26.8800","53750.0000","-0.5181"
"26.8800","26.9500","26.3000","26.4500","55354.0000","-1.5997"
"26.4500","26.5500","26.1000","26.4500","38440.0000","0.0000"
"26.4400","26.5500","26.0100","26.4300","40980.0000","-0.0756"
"26.3000","26.6600","26.0200","26.4000","57253.0000","-0.1135"
"26.4300","26.6600","26.1500","26.4500","22827.0000","0.1894"
"26.4500","26.8300","26.2200","26.3300","26812.0000","-0.4537"
"26.3000","26.5000","26.1100","26.4000","23714.0000","0.2659"
"26.3100","26.9000","26.2100","26.6000","28651.0000","0.7576"
"26.5200","26.7200","26.2200","26.2600","19385.0000","-1.2782"
"26.2500","26.6500","26.2000","26.3600","25526.0000","0.3808"
"26.3000","26.3500","25.6000","25.6600","69840.0000","-2.6555"
"25.6000","25.8500","25.5000","25.6000","39558.0000","-0.2338"
"25.6000","25.7600","25.5000","25.5300","22365.0000","-0.2734"
"25.5000","25.5500","25.3000","25.3600","25646.0000","-0.6659"
"25.3600","26.1000","25.2200","25.9700","35539.1300","2.4054"
"25.9800","26.4500","25.6000","25.9200","70584.0000","-0.1925"
"25.7000","26.0000","25.7000","26.0000","16185.0000","0.3086"
"26.0000","26.9000","25.9000","26.4500","67979.0000","1.7308"
"26.5000","26.5000","25.9500","26.0000","36162.0000","-1.7013"
"26.0000","26.1300","25.5100","25.5800","35653.0000","-1.6154"
"25.4500","25.5500","25.1400","25.2400","42153.0000","-1.3292"
"25.2400","25.3500","25.0500","25.1500","30835.0000","-0.3566"
"25.2000","25.3000","24.7000","24.7800","41615.6100","-1.4712"
"24.6000","25.0700","24.5900","24.7500","28325.0000","-0.1211"
"24.7500","25.0000","24.5000","24.5800","22337.0000","-0.6869"
"24.5400","25.0800","24.5000","24.6000","31767.0000","0.0814"
